ed_name,vs16,vs20,vs24,first_diff,second_diff,third_diff,san16vs,san20vs
80037,38.6,37.91,19.2,-0.6900000000000048,-18.709999999999997,-19.400000000000002,38.03,30.67
80038,18.08,23.3,18.07,5.220000000000002,-5.23,-0.00999999999999801,30.36,16.9
80040,9.16,14.55,38.5,5.390000000000001,23.95,29.34,24.58,16.22
80041,10.52,14.19,44.62,3.67,30.43,34.099999999999994,28.21,16.89
80042,8.47,12.44,37.28,3.969999999999999,24.840000000000003,28.810000000000002,28.21,25.22
80043,15.32,23.74,40.18,8.419999999999998,16.44,24.86,38.06,23.96
80044,17.49,31.54,26.21,14.05,-5.329999999999998,8.720000000000002,31.31,28.17
80045,15.56,25.61,32.42,10.049999999999999,6.810000000000002,16.86,31.62,19.82
80046,11.01,15.07,30.25,4.0600000000000005,15.18,19.240000000000002,44.09,23.81
80047,14.79,17.34,42.7,2.5500000000000007,25.360000000000003,27.910000000000004,38.16,26.67
80048,9.68,14.75,41.05,5.07,26.299999999999997,31.369999999999997,22.61,15.66
80050,7.22,9.38,25.18,2.160000000000001,15.799999999999999,17.96,30.42,25.61
80051,23.56,25.2,25.19,1.6400000000000006,-0.00999999999999801,1.6300000000000026,31.94,20.24
80052,6.85,11.44,18.46,4.59,7.020000000000001,11.610000000000001,35.76,15.33
80053,6.5,14.18,30.65,7.68,16.47,24.15,42.42,15.31
80054,12.5,16.57,13.95,4.07,-2.620000000000001,1.4499999999999993,51.28,20.0
80055,8.93,11.45,32.61,2.5199999999999996,21.16,23.68,28.39,18.4
80056,3.62,6.26,34.83,2.6399999999999997,28.57,31.209999999999997,23.27,9.22
80057,9.74,20.86,29.53,11.12,8.670000000000002,19.79,27.27,12.5
80058,13.88,19.17,33.79,5.290000000000001,14.619999999999997,19.909999999999997,31.39,18.02
80059,10.89,10.48,30.39,-0.41000000000000014,19.91,19.5,18.42,15.38
80060,4.14,9.8,57.56,5.660000000000001,47.760000000000005,53.42,28.28,8.33
80061,4.3,6.03,50.0,1.7300000000000004,43.97,45.7,30.77,23.33
80062,8.13,13.51,32.95,5.379999999999999,19.440000000000005,24.82,27.75,21.28
80063,4.64,9.67,39.02,5.03,29.35,34.38,31.28,12.0
80064,6.14,9.29,20.51,3.1499999999999995,11.220000000000002,14.370000000000001,23.21,7.69
80066,26.49,34.25,,7.760000000000002,,,25.56,8.06
80067,19.86,21.96,,2.1000000000000014,,,34.64,11.72
81001,4.94,13.48,35.93,8.54,22.45,30.99,23.64,17.91
81002,10.48,22.18,32.68,11.7,10.5,22.2,31.22,30.34
81003,7.78,17.17,41.37,9.39,24.199999999999996,33.589999999999996,33.33,35.54
81004,8.48,18.66,24.2,10.18,5.539999999999999,15.719999999999999,37.15,21.65
81005,6.6,18.29,39.28,11.69,20.990000000000002,32.68,31.87,27.86
81006,10.06,19.08,32.87,9.019999999999998,13.79,22.809999999999995,41.41,22.44
81007,10.45,23.29,25.93,12.84,2.6400000000000006,15.48,36.28,39.25
81008,7.69,15.74,26.07,8.05,10.33,18.38,28.23,32.88
81009,6.02,15.03,32.06,9.01,17.03,26.040000000000003,23.3,29.31
81010,7.65,11.27,34.79,3.619999999999999,23.52,27.14,51.79,33.9
81011,7.96,9.63,33.8,1.6700000000000008,24.169999999999995,25.839999999999996,19.44,23.08
81012,11.58,15.4,37.87,3.8200000000000003,22.47,26.29,43.12,21.88
81013,13.13,15.02,35.56,1.8899999999999988,20.540000000000003,22.43,41.96,18.52
81014,15.02,13.9,26.03,-1.1199999999999992,12.13,11.010000000000002,34.62,21.21
81015,13.41,18.27,19.67,4.859999999999999,1.4000000000000021,6.260000000000002,49.24,22.82
81017,3.8,9.32,26.07,5.5200000000000005,16.75,22.27,19.63,15.76
