ElectDist,african21p,afam21p,fb21wafp,fb21nafp
24037,0.05946972239074617,3.191541688304967,3.2923533737821994e-09,1.219129275332987
24038,0.007664315404265261,0.41131798266888003,0.0,0.1571183490209253
24039,0.0007237987958040892,3.42577331992781,0.10783111524234468,0.09595798423062377
24040,0.6993586444557393,8.26523667747804,2.1216304879652492,0.22925909762963237
24041,0.0,0.4187134396128774,0.010284188624067294,0.008815018820629104
24042,0.0,1.6286946535843845,0.04000302185485087,0.03428830444701501
24043,0.10757329962404283,3.469932250292177,0.046770999836540365,0.41409963382542
24044,1.6435957680932303e-08,4.617721695131064,1.6435957680932303e-08,0.05787995912663302
24045,0.07825033538508279,4.29455817949855,0.19763580360505004,0.11010993466758594
24046,3.520891754702704e-09,2.2479445101993356,0.06094906076560995,0.0
24047,0.0,5.478045044477769,0.13375604764525195,0.07264097162783595
24048,0.0,0.9824200454499352,0.9021177747339204,0.0
24049,0.0,11.446158798667083,0.022355784999048292,1.8331738659279062
24050,0.07404614478357732,4.475619268444097,0.1805542136406493,0.16718456868364534
24051,0.0,4.187017516116987,0.11735351866074216,1.0924833658216688
24052,0.6921132947777361,5.248350358179601,0.6921132947777361,1.5575759180507177e-08
24053,1.2433018042874777,6.176033186862559,0.33837935939246,0.7776255555452167
24054,1.3181589615051983,3.927556812037021,0.0005777931177132026,0.17052411897315403
24055,0.16845182462003383,2.0532888506870672,0.07323991657665278,0.2780592938530593
24056,0.2528739926666648,0.8275876188746968,1.6354189607486407e-09,0.0
24057,3.273931372629541e-08,0.9677977792379824,0.12321151499484437,0.05501464313397181
24058,1.5282831444469016e-09,0.6498016738623443,0.10794044426065512,1.860518610631011e-09
24060,0.0,1.1590988136026656,0.0724436966772152,0.0
24061,0.04594959144943329,3.032673365188285,0.0,0.0
24062,0.12011529603988634,2.363777952132342,0.05222404175647233,0.25400513385573587
24063,0.0,4.476980866724311,0.032065460928534406,0.0
24064,0.06775239483313716,5.463395165467404,0.1608748226523678,0.0770364448709308
24065,0.24466000147919068,3.394908239590174,0.3869389131231968,7.922494440295898e-08
24066,0.0461263838541129,1.6779547851848768,0.07248431748503456,0.030973759349415004
24067,0.0,2.362655470339439,2.3682808261717447,0.0
24068,2.0131671897349572e-08,2.3102181665043373,0.0,0.0
24069,0.0,14.607681865370534,0.0,0.0
24070,0.0,6.6582704805754425,0.0,0.0
24071,0.0017707970621095178,9.731294269492228,0.040479712503564684,0.15696856302001658
24072,0.0,8.01974485449475,0.0,0.13511611195257403
24073,0.0,3.9097439962603384,0.0,1.0617600832197502e-08
24074,0.0,3.527278998424256,0.04816150041198152,0.0
24075,0.0,1.4234001710948019,0.0,0.0
24076,0.0,3.6167340974942688,0.0,0.0
24077,0.0,1.6477298813396122,0.0,0.0
24078,2.7156474086897894e-09,0.5250192593567613,0.5262691841851267,0.0
24079,0.0028542034120407457,7.161813574129457,0.11574722582672002,0.15713400238329875
24081,0.0,0.005802325466394344,0.0003626453416496464,0.0
24082,0.0008319495047564131,0.019035416247484373,0.001307349221760078,0.0
24083,0.002457367393942753,0.05920788119012748,0.002457367393942753,0.0
24084,0.02165388207148461,0.23677218852806423,0.02165388207148461,0.02606073486454175
24085,0.0,4.110696932597776,0.006570463656382888,0.5725497541483543
24086,0.0,1.023832065660572,0.4808945678412877,0.0
24087,0.4009599871112371,4.9017906867584795,0.22976293190524727,0.017892206385485245
24088,0.005023780176007441,7.386988710908046,0.12877080695170778,0.1362299049830692
24089,1.2026725798343095e-10,0.5647724372082491,1.2026725798343095e-10,4.241420755426646e-09
24090,0.0904939104361785,4.856506118582049,0.0,1.8551249921095236
24091,0.3697005851019324,1.992555546335546,2.3765582985267146e-09,0.1406479049175181
25001,0.0,0.28138321982582476,0.09311962670494921,0.0
25002,0.0,0.15067666617192918,0.04986422045977513,0.0
25003,0.10842191834422421,5.526419077410816,0.08728091665697535,0.5009994114628594
25004,2.244805920290103e-08,1.8990778229488983,3.3585667706454418e-09,5.186259497637753e-10
25005,9.10133707966287e-10,0.4098192470018743,0.010065737131126799,0.00862777406235104
25006,0.19920066912717924,4.19742734238269,0.0800436026194358,5.1066246425847265e-08
25007,0.09913188894595609,8.304178591125524,1.2389700852862349,0.38846654011855114
25008,0.06818358182859689,0.5767682682134104,0.2010145174387566,0.06059623620957299
25009,0.0,0.08121289222731497,0.004274362744915835,0.06411544117373755
25010,0.04664799072084383,0.3420852774512193,0.1347608621556315,1.0979058447549014e-09
25011,0.01211571022531026,0.3447299710493805,0.04846838426424195,0.2020116542001847
25012,0.014538614593479967,0.3189500847093153,0.2973779764427001,0.07439562238098825
25013,0.024175280717364727,1.5024844340711723,0.0010090502591390024,0.9084604285762888
25014,0.0,0.2476058707469968,2.7886235668865053e-11,0.1647660692237281
25015,8.19867084484823e-09,0.891352265618175,0.0,0.8992401487887537
25016,0.0,1.0145323404042137,0.0,0.7939549023425555
25017,0.0028826519650589967,2.3435737166366146,0.0,0.3041849351349859
25018,0.19150523171908615,4.4866940613345125,0.0,0.08891315839924377
25019,0.08025501556547264,3.0516441775048673,0.0,0.03726125722682657
25020,0.11936584794317154,7.138896248858836,0.0,0.2669984790149423
25021,0.0,2.042569014544792,0.0,0.9183231912604225
25022,0.0,0.397359696563838,0.0,0.14221294411409255
25023,0.0,0.028240062054313897,0.0,0.0
25024,0.0,0.4513824444652382,0.0,0.16154739131361237
25025,0.0,0.6653496312620233,0.06403991962309159,0.02955688597988843
25026,0.0,0.258792464479227,0.0,0.11655538476545338
25027,0.0,0.29395304869668437,0.0,0.3864779451383519
25028,0.0,0.18905175609319846,0.0,0.14155929878807277
25029,0.0,0.23658523632948641,0.0,0.11805092384195799
25030,0.0,0.3651142325595884,0.0,0.09676729750016021
25031,0.0,10.990970722820144,0.0,1.0358958575417802e-08
25032,0.0,6.642753854907564,0.0,0.04391305652794589
25033,0.0,1.4701626933917928,0.0,0.2714114050830669
25034,0.0,0.031120937745102117,0.0,0.0
25035,0.0,2.1871379798314745,0.0,5.346226130405723e-09
25036,0.0,1.2644770057602774,0.0,0.2744401682644044
25037,0.0,0.03028337308942941,0.0,0.0
25038,0.0,0.08223289235289624,0.0,4.417224927202758e-09
25039,0.0,0.4269054350664559,0.0,0.0
25040,0.0,0.20510790747121754,0.15055818342557337,0.0
25041,0.0,2.349094602782662,0.02620803804116214,0.0
25042,0.0022499168068366875,0.5684691257705841,0.0,0.0020256305434410275
25043,6.84564248356088e-11,0.8998140977194049,0.004679997771302342,0.01735267271848388
25044,0.0,1.9995296498014854,0.008613046598506173,0.0
25045,0.0,0.8114361630867638,0.0037516635529941424,0.0
25046,0.0,0.08390618144614065,0.014011589619980168,0.0
25047,5.385812502238827e-09,0.006199809026829267,0.012291971721493728,0.0
25048,0.0,0.17733657903612896,0.0009769529018021038,0.0
25049,0.0,0.10246151722090703,0.0,0.0
25051,7.72304769770356e-09,0.529900844500356,3.003407437995829e-09,0.0
25055,0.0,0.2502493863496061,0.0,0.0
25056,0.1188653672224637,1.5989178455437634,0.4358396798157004,0.0
25057,0.0,0.4964204151533851,0.05267197409232034,0.0
25058,0.0,1.2520431735088673,0.21702081670899054,0.10016345386568794
25059,0.0191117071194454,1.6159099692418475,0.19163982013434305,1.0434555475403473
25060,0.004187902663223344,2.661738888551094,0.15326195197586975,0.0
25061,0.0,1.4452801898337673,0.3916373107639061,1.0602238553707888e-10
25062,0.0,7.249138409280535,0.1898881911900407,0.20280846599805152
25063,0.0,0.011831944951544814,2.478278814342746e-10,9.637750944666237e-10
25065,0.0,0.23924900879112182,0.0,0.08562596104103307
25066,0.0,0.0,0.0,0.0
25067,0.0006056978462015814,1.6338520602169424,0.0006056983012061313,7.023688110528312e-09
25068,0.0,0.03627837021233097,0.0,0.0
25069,0.0,3.943689568208232,0.8484436709507465,0.2234023341462632
25070,0.12517217509097295,4.06029118484222,0.3411851617241331,0.10506890857843658
25071,0.08746358088667999,3.364407939313695,0.0,0.04060809112595856
25072,0.0,1.179199008730759,0.0,0.5286788716403118
25073,0.0,0.2880529035957103,0.0,0.0
25074,0.22874880002073067,2.2519689087386627,0.843873268801597,0.0
25075,0.0,0.9955427813998525,0.0,0.7743106186752041
25076,0.05932775962406693,0.4457614761199032,0.1719539984927931,0.00844039368232958
25077,0.0,0.07028191622043836,0.0,0.0
25078,0.0,0.01938396512668452,0.0,0.16683498711802117
25079,0.0,0.1509422091827337,0.0,0.0
26001,0.0,0.01398404154316999,0.00399992808323518,0.1299454476474379
26002,0.0,0.13589220516952416,0.0,0.0
26003,0.0,0.0005096875202344864,0.0005096812380847019,0.35891952450577413
26004,0.0,4.068131171846901e-09,0.0,0.1935486872411483
26005,0.0,0.5456471934020022,0.0,1.7884904939663118
